claim_id,customer_tier,incident_type,claim_amount,documents_verified,prior_claims_count,policy_tenure_years,days_since_incident,region,channel,fraud_score,ai_initial_decision,human_final_decision,processing_cost,processing_time_hours,outcome,successful_outcome
CLM100883,standard,airline_fault,101000.0,True,0,2.8,43,north,agent,0.473,HUMAN_REVIEW,APPROVE,199.91,20.7,SUCCESSFUL,1
CLM100884,standard,medical,29700.0,True,1,2.8,29,north,agent,0.103,AUTO_PROCESS,N/A,42.06,0.27,SUCCESSFUL,1
CLM100885,standard,weather,52500.0,False,0,1.0,5,east,app,0.339,HUMAN_REVIEW,APPROVE,254.12,25.09,DISPUTED,0
CLM100886,standard,mechanical,9800.0,False,0,3.5,27,north,call_center,0.542,AUTO_PROCESS,N/A,50.84,0.12,SUCCESSFUL,1
CLM100887,standard,weather,17300.0,True,0,7.7,7,north,call_center,0.092,AUTO_PROCESS,N/A,41.84,0.14,DISPUTED,0
CLM100888,standard,mechanical,28300.0,False,0,1.7,26,east,call_center,0.466,AUTO_PROCESS,N/A,49.32,0.21,SUCCESSFUL,1
CLM100889,silver,medical,77100.0,True,1,4.0,23,south,app,0.062,HUMAN_REVIEW,REJECT,280.62,47.31,FRAUD_CONFIRMED,0
CLM100890,standard,theft,14000.0,True,1,4.8,26,south,app,0.4,AUTO_PROCESS,N/A,48.0,0.08,SUCCESSFUL,1
CLM100891,premium,weather,44600.0,True,0,6.9,32,north,app,0.015,AUTO_PROCESS,N/A,40.3,0.29,SUCCESSFUL,1
CLM100892,standard,airline_fault,38000.0,True,1,3.1,37,east,app,0.115,AUTO_PROCESS,N/A,42.3,0.14,SUCCESSFUL,1
CLM100893,standard,other,53100.0,False,1,3.3,2,east,agent,0.628,HUMAN_REVIEW,REJECT,269.03,7.96,CUSTOMER_COMPLAINT,0
CLM100894,silver,mechanical,14200.0,True,1,7.2,13,south,agent,0.02,AUTO_PROCESS,N/A,40.4,0.29,SUCCESSFUL,1
CLM100895,premium,theft,46400.0,True,1,4.1,9,south,agent,0.218,AUTO_PROCESS,N/A,44.36,0.14,SUCCESSFUL,1
CLM100896,standard,mechanical,39600.0,True,2,1.3,8,north,agent,0.109,AUTO_PROCESS,N/A,42.18,0.15,SUCCESSFUL,1
CLM100897,standard,theft,39400.0,True,1,3.7,37,north,call_center,0.395,AUTO_PROCESS,N/A,47.9,0.22,SUCCESSFUL,1
CLM100898,standard,theft,84000.0,True,3,5.9,5,south,app,0.849,HUMAN_REVIEW,REJECT,290.56,45.11,FRAUD_CONFIRMED,0
CLM100899,standard,airline_fault,100600.0,True,1,1.8,26,north,agent,0.081,HUMAN_REVIEW,APPROVE,273.78,45.09,SUCCESSFUL,1
CLM100900,standard,theft,33200.0,False,1,1.2,33,east,app,0.734,AUTO_PROCESS,N/A,54.68,0.12,SUCCESSFUL,1
CLM100901,standard,mechanical,14100.0,True,1,2.5,0,south,agent,0.202,AUTO_PROCESS,N/A,44.04,0.1,SUCCESSFUL,1
CLM100902,standard,airline_fault,26600.0,True,0,4.5,10,north,call_center,0.186,AUTO_PROCESS,N/A,43.72,0.17,SUCCESSFUL,1
CLM100903,standard,medical,9800.0,True,0,6.5,35,west,app,0.141,AUTO_PROCESS,N/A,42.82,0.15,SUCCESSFUL,1
CLM100904,premium,weather,35000.0,False,0,3.0,20,north,app,0.262,AUTO_PROCESS,N/A,45.24,0.14,SUCCESSFUL,1
CLM100905,silver,airline_fault,118200.0,False,0,7.1,4,west,agent,0.646,HUMAN_REVIEW,REJECT,227.14,48.82,FRAUD_CONFIRMED,0
CLM100906,standard,other,23200.0,False,1,3.9,10,south,app,0.315,AUTO_PROCESS,N/A,46.3,0.14,FRAUD_CONFIRMED,0
CLM100907,standard,other,40800.0,True,1,5.5,29,south,call_center,0.322,AUTO_PROCESS,N/A,46.44,0.09,SUCCESSFUL,1
CLM100908,standard,weather,20200.0,True,0,6.8,28,east,agent,0.119,AUTO_PROCESS,N/A,42.38,0.29,SUCCESSFUL,1
CLM100909,standard,medical,20000.0,False,1,2.6,23,north,call_center,0.574,AUTO_PROCESS,N/A,51.48,0.3,REOPENED,0
CLM100910,silver,airline_fault,43600.0,True,0,3.3,44,west,app,0.063,AUTO_PROCESS,N/A,41.26,0.19,FRAUD_CONFIRMED,0
CLM100911,premium,medical,11100.0,True,0,5.2,29,west,app,0.093,AUTO_PROCESS,N/A,41.86,0.23,SUCCESSFUL,1
CLM100912,premium,mechanical,12000.0,False,1,3.1,44,east,call_center,0.377,AUTO_PROCESS,N/A,47.54,0.25,SUCCESSFUL,1
CLM100913,premium,medical,108100.0,True,0,3.9,28,south,app,0.318,HUMAN_REVIEW,APPROVE,260.81,67.74,SUCCESSFUL,1
CLM100914,premium,mechanical,7700.0,True,2,1.8,40,north,app,0.2,AUTO_PROCESS,N/A,44.0,0.21,SUCCESSFUL,1
CLM100915,premium,mechanical,20700.0,True,0,5.5,20,east,app,0.034,AUTO_PROCESS,N/A,40.68,0.17,DISPUTED,0
CLM100916,standard,other,224000.0,True,0,4.6,31,west,agent,0.474,HUMAN_REVIEW,REJECT,287.86,54.49,FRAUD_CONFIRMED,0
CLM100917,standard,airline_fault,141400.0,False,0,3.8,29,east,agent,0.603,HUMAN_REVIEW,REJECT,217.76,11.95,FRAUD_CONFIRMED,0
CLM100918,standard,weather,24700.0,True,0,2.1,42,south,agent,0.237,AUTO_PROCESS,N/A,44.74,0.27,SUCCESSFUL,1
CLM100919,silver,mechanical,64800.0,True,1,6.7,35,east,app,0.047,HUMAN_REVIEW,APPROVE,273.11,69.12,SUCCESSFUL,1
CLM100920,standard,theft,21400.0,True,0,2.1,28,north,app,0.532,AUTO_PROCESS,N/A,50.64,0.25,DISPUTED,0
CLM100921,silver,airline_fault,11300.0,True,0,8.1,30,south,app,0.058,AUTO_PROCESS,N/A,41.16,0.19,SUCCESSFUL,1
CLM100922,silver,theft,21800.0,False,1,1.4,19,south,app,0.533,AUTO_PROCESS,N/A,50.66,0.22,SUCCESSFUL,1
CLM100923,standard,mechanical,31700.0,True,0,1.1,8,west,agent,0.0,AUTO_PROCESS,N/A,40.0,0.17,SUCCESSFUL,1
CLM100924,standard,theft,11900.0,True,0,4.8,1,north,call_center,0.232,AUTO_PROCESS,N/A,44.64,0.13,FRAUD_CONFIRMED,0
CLM100925,standard,other,55400.0,True,2,1.7,39,south,app,0.371,HUMAN_REVIEW,APPROVE,241.17,22.29,SUCCESSFUL,1
CLM100926,standard,mechanical,84800.0,True,2,3.3,3,south,agent,0.377,HUMAN_REVIEW,APPROVE,229.97,28.55,SUCCESSFUL,1
CLM100927,premium,theft,20700.0,True,1,6.1,34,east,app,0.208,AUTO_PROCESS,N/A,44.16,0.28,SUCCESSFUL,1
CLM100928,silver,mechanical,8300.0,False,2,1.6,43,north,app,0.4,AUTO_PROCESS,N/A,48.0,0.3,SUCCESSFUL,1
CLM100929,silver,airline_fault,103500.0,False,1,5.0,7,south,agent,0.646,HUMAN_REVIEW,REJECT,282.89,32.85,CUSTOMER_COMPLAINT,0
CLM100930,standard,medical,23100.0,True,1,5.3,22,south,call_center,0.14,AUTO_PROCESS,N/A,42.8,0.25,SUCCESSFUL,1
CLM100931,standard,other,17100.0,False,1,4.9,1,west,app,0.342,AUTO_PROCESS,N/A,46.84,0.28,FRAUD_CONFIRMED,0
CLM100932,standard,other,8900.0,False,1,7.6,41,west,agent,0.56,AUTO_PROCESS,N/A,51.2,0.12,SUCCESSFUL,1
CLM100933,silver,other,16300.0,False,2,2.3,0,south,call_center,0.433,AUTO_PROCESS,N/A,48.66,0.09,REOPENED,0
CLM100934,silver,mechanical,97600.0,False,1,1.6,19,south,agent,0.626,HUMAN_REVIEW,REJECT,220.68,42.99,FRAUD_CONFIRMED,0
CLM100935,standard,medical,27900.0,False,0,1.0,8,south,call_center,0.425,AUTO_PROCESS,N/A,48.5,0.11,FRAUD_CONFIRMED,0
CLM100936,premium,airline_fault,14800.0,True,0,5.4,16,south,agent,0.138,AUTO_PROCESS,N/A,42.76,0.05,SUCCESSFUL,1
CLM100937,standard,other,33800.0,True,4,3.6,28,east,call_center,0.659,AUTO_PROCESS,N/A,53.18,0.16,SUCCESSFUL,1
CLM100938,premium,theft,9900.0,False,0,7.0,41,south,app,0.674,AUTO_PROCESS,N/A,53.48,0.12,SUCCESSFUL,1
CLM100939,standard,weather,59800.0,True,0,1.9,3,south,call_center,0.107,HUMAN_REVIEW,APPROVE,237.21,32.38,SUCCESSFUL,1
CLM100940,standard,other,24600.0,True,1,2.2,11,east,app,0.397,AUTO_PROCESS,N/A,47.94,0.28,DISPUTED,0
CLM100941,silver,theft,61300.0,True,0,2.1,27,east,call_center,0.355,HUMAN_REVIEW,REJECT,300.35,65.56,FRAUD_CONFIRMED,0
CLM100942,standard,other,24200.0,True,0,3.2,23,west,app,0.131,AUTO_PROCESS,N/A,42.62,0.08,SUCCESSFUL,1
CLM100943,standard,medical,70900.0,False,1,1.6,28,west,agent,0.556,HUMAN_REVIEW,APPROVE,261.77,20.05,SUCCESSFUL,1
CLM100944,standard,other,32400.0,True,0,2.4,11,south,app,0.183,AUTO_PROCESS,N/A,43.66,0.07,SUCCESSFUL,1
CLM100945,standard,theft,17000.0,True,0,3.6,4,west,agent,0.271,AUTO_PROCESS,N/A,45.42,0.07,REOPENED,0
CLM100946,silver,mechanical,99000.0,True,1,4.2,31,east,agent,0.326,HUMAN_REVIEW,APPROVE,199.32,34.04,SUCCESSFUL,1
CLM100947,premium,medical,14900.0,False,1,3.9,10,south,app,0.191,AUTO_PROCESS,N/A,43.82,0.12,SUCCESSFUL,1
CLM100948,premium,airline_fault,47700.0,True,1,1.6,35,south,app,0.0,AUTO_PROCESS,N/A,40.0,0.06,SUCCESSFUL,1
CLM100949,standard,airline_fault,3100.0,False,2,4.0,31,south,call_center,0.441,AUTO_PROCESS,N/A,48.82,0.14,SUCCESSFUL,1
CLM100950,standard,other,40900.0,True,0,3.0,26,east,app,0.253,AUTO_PROCESS,N/A,45.06,0.1,FRAUD_CONFIRMED,0
CLM100951,standard,other,6600.0,False,0,6.1,15,east,app,0.699,AUTO_PROCESS,N/A,53.98,0.08,CUSTOMER_COMPLAINT,0
CLM100952,standard,other,46100.0,True,0,7.3,41,west,agent,0.256,AUTO_PROCESS,N/A,45.12,0.14,DISPUTED,0
CLM100953,standard,airline_fault,66900.0,False,1,7.0,13,west,agent,0.559,HUMAN_REVIEW,REJECT,269.84,19.59,FRAUD_CONFIRMED,0
CLM100954,premium,weather,51400.0,True,0,3.1,3,east,agent,0.0,HUMAN_REVIEW,APPROVE,259.68,12.02,SUCCESSFUL,1
CLM100955,premium,other,49900.0,True,0,3.1,27,south,agent,0.225,AUTO_PROCESS,N/A,44.5,0.23,SUCCESSFUL,1
CLM100956,silver,airline_fault,76000.0,True,1,4.9,34,west,call_center,0.233,HUMAN_REVIEW,REJECT,177.28,28.3,FRAUD_CONFIRMED,0
CLM100957,standard,mechanical,13300.0,False,0,2.0,8,north,agent,0.446,AUTO_PROCESS,N/A,48.92,0.25,SUCCESSFUL,1
CLM100958,standard,mechanical,48200.0,True,0,4.4,37,west,agent,0.226,AUTO_PROCESS,N/A,44.52,0.12,SUCCESSFUL,1
CLM100959,standard,other,69500.0,True,0,3.9,15,north,agent,0.354,HUMAN_REVIEW,APPROVE,272.58,38.79,DISPUTED,0
CLM100960,standard,mechanical,11900.0,True,0,7.2,2,south,call_center,0.084,AUTO_PROCESS,N/A,41.68,0.17,SUCCESSFUL,1
CLM100961,standard,weather,11700.0,False,2,3.5,8,north,call_center,0.35,AUTO_PROCESS,N/A,47.0,0.18,SUCCESSFUL,1
CLM100962,standard,mechanical,43600.0,True,0,4.3,44,west,agent,0.137,AUTO_PROCESS,N/A,42.74,0.1,SUCCESSFUL,1
CLM100963,standard,airline_fault,38600.0,True,0,6.3,33,south,call_center,0.127,AUTO_PROCESS,N/A,42.54,0.19,SUCCESSFUL,1
CLM100964,premium,medical,93700.0,True,0,3.6,34,east,app,0.123,HUMAN_REVIEW,REJECT,284.82,40.49,FRAUD_CONFIRMED,0
CLM100965,standard,theft,23100.0,True,1,2.3,0,north,app,0.465,AUTO_PROCESS,N/A,49.3,0.17,SUCCESSFUL,1
CLM100966,premium,theft,24000.0,True,0,4.9,34,west,app,0.251,AUTO_PROCESS,N/A,45.02,0.11,SUCCESSFUL,1
CLM100967,standard,mechanical,14200.0,True,0,1.8,21,east,call_center,0.035,AUTO_PROCESS,N/A,40.7,0.27,SUCCESSFUL,1
CLM100968,silver,weather,14000.0,False,0,4.1,19,east,call_center,0.415,AUTO_PROCESS,N/A,48.3,0.07,SUCCESSFUL,1
CLM100969,standard,airline_fault,11900.0,True,0,2.4,41,north,call_center,0.311,AUTO_PROCESS,N/A,46.22,0.27,SUCCESSFUL,1
CLM100970,standard,other,39100.0,True,1,1.2,9,west,app,0.241,AUTO_PROCESS,N/A,44.82,0.25,SUCCESSFUL,1
CLM100971,standard,mechanical,51800.0,True,0,4.7,30,east,app,0.286,HUMAN_REVIEW,APPROVE,192.26,23.05,SUCCESSFUL,1
CLM100972,standard,mechanical,27100.0,True,0,3.9,11,north,call_center,0.173,AUTO_PROCESS,N/A,43.46,0.06,SUCCESSFUL,1
CLM100973,premium,mechanical,38200.0,True,1,7.6,22,north,agent,0.124,AUTO_PROCESS,N/A,42.48,0.06,SUCCESSFUL,1
CLM100974,standard,other,9200.0,True,0,1.4,32,east,app,0.25,AUTO_PROCESS,N/A,45.0,0.06,SUCCESSFUL,1
CLM100975,silver,medical,136400.0,False,2,2.2,9,north,agent,0.655,HUMAN_REVIEW,REJECT,247.08,33.04,CUSTOMER_COMPLAINT,0
CLM100976,standard,airline_fault,11600.0,True,2,6.8,33,east,call_center,0.095,AUTO_PROCESS,N/A,41.9,0.29,SUCCESSFUL,1
CLM100977,standard,theft,55200.0,False,1,7.3,25,north,call_center,0.66,HUMAN_REVIEW,APPROVE,253.97,47.76,SUCCESSFUL,1
CLM100978,standard,mechanical,10800.0,False,0,5.3,0,north,app,0.598,AUTO_PROCESS,N/A,51.96,0.25,SUCCESSFUL,1
CLM100979,standard,medical,42300.0,False,1,3.4,9,west,app,0.431,AUTO_PROCESS,N/A,48.62,0.19,SUCCESSFUL,1
CLM100980,premium,other,35000.0,True,0,6.1,38,east,call_center,0.166,AUTO_PROCESS,N/A,43.32,0.07,FRAUD_CONFIRMED,0
CLM100981,silver,medical,6800.0,True,1,3.0,39,south,app,0.141,AUTO_PROCESS,N/A,42.82,0.27,SUCCESSFUL,1
CLM100982,silver,other,15200.0,False,0,0.5,43,west,app,0.329,AUTO_PROCESS,N/A,46.58,0.11,FRAUD_CONFIRMED,0
CLM100983,standard,mechanical,48900.0,False,1,7.2,39,south,call_center,0.506,AUTO_PROCESS,N/A,50.12,0.25,SUCCESSFUL,1
CLM100984,standard,mechanical,61100.0,True,0,2.8,33,south,agent,0.358,HUMAN_REVIEW,REJECT,250.25,21.25,CUSTOMER_COMPLAINT,0
CLM100985,premium,theft,38600.0,False,2,12.0,32,west,app,0.488,AUTO_PROCESS,N/A,49.76,0.11,SUCCESSFUL,1
CLM100986,standard,medical,56500.0,False,1,1.7,26,south,call_center,0.411,HUMAN_REVIEW,REJECT,230.92,18.67,FRAUD_CONFIRMED,0
CLM100987,standard,weather,58200.0,False,0,7.0,1,north,app,0.729,HUMAN_REVIEW,REJECT,241.33,44.09,FRAUD_CONFIRMED,0
CLM100988,standard,mechanical,86500.0,True,1,4.1,25,north,app,0.443,HUMAN_REVIEW,APPROVE,200.62,61.9,SUCCESSFUL,1
CLM100989,silver,airline_fault,7800.0,True,2,6.5,44,west,app,0.0,AUTO_PROCESS,N/A,40.0,0.25,SUCCESSFUL,1
CLM100990,silver,weather,72100.0,True,2,2.3,4,south,agent,0.305,HUMAN_REVIEW,APPROVE,294.89,26.02,SUCCESSFUL,1
CLM100991,silver,other,93200.0,True,0,10.9,26,west,app,0.402,HUMAN_REVIEW,REJECT,250.81,55.27,CUSTOMER_COMPLAINT,0
CLM100992,silver,airline_fault,64300.0,False,4,9.6,3,south,call_center,0.799,HUMAN_REVIEW,REJECT,258.58,28.58,FRAUD_CONFIRMED,0
CLM100993,standard,other,17000.0,True,2,2.9,41,south,agent,0.208,AUTO_PROCESS,N/A,44.16,0.1,REOPENED,0
CLM100994,premium,mechanical,31500.0,True,0,3.1,26,south,app,0.0,AUTO_PROCESS,N/A,40.0,0.13,SUCCESSFUL,1
CLM100995,standard,medical,10300.0,False,0,4.3,30,west,agent,0.427,AUTO_PROCESS,N/A,48.54,0.09,CUSTOMER_COMPLAINT,0
CLM100996,silver,other,58600.0,True,1,2.0,23,east,agent,0.193,HUMAN_REVIEW,APPROVE,260.13,62.69,FRAUD_CONFIRMED,0
CLM100997,standard,medical,22100.0,True,2,2.3,8,west,agent,0.027,AUTO_PROCESS,N/A,40.54,0.15,SUCCESSFUL,1
CLM100998,premium,other,41100.0,False,0,6.6,30,south,agent,0.331,AUTO_PROCESS,N/A,46.62,0.07,SUCCESSFUL,1
CLM100999,standard,weather,11100.0,False,0,0.5,10,west,agent,0.443,AUTO_PROCESS,N/A,48.86,0.26,CUSTOMER_COMPLAINT,0
CLM101000,standard,mechanical,28800.0,False,0,2.1,22,west,agent,0.275,AUTO_PROCESS,N/A,45.5,0.19,SUCCESSFUL,1
CLM101001,standard,medical,5200.0,True,0,8.6,6,west,app,0.117,AUTO_PROCESS,N/A,42.34,0.23,SUCCESSFUL,1
CLM101002,standard,medical,14000.0,True,1,7.9,16,south,agent,0.03,AUTO_PROCESS,N/A,40.6,0.1,SUCCESSFUL,1
CLM101003,standard,medical,62700.0,True,2,3.4,25,north,agent,0.409,HUMAN_REVIEW,REJECT,271.25,61.17,FRAUD_CONFIRMED,0
CLM101004,silver,medical,14800.0,True,0,1.0,43,south,app,0.209,AUTO_PROCESS,N/A,44.18,0.27,SUCCESSFUL,1
CLM101005,standard,weather,8000.0,True,1,7.5,9,east,app,0.251,AUTO_PROCESS,N/A,45.02,0.23,SUCCESSFUL,1
CLM101006,premium,weather,427900.0,True,2,2.7,19,east,call_center,0.234,HUMAN_REVIEW,REJECT,172.22,71.28,FRAUD_CONFIRMED,0
CLM101007,standard,other,35600.0,True,2,5.9,2,west,agent,0.324,AUTO_PROCESS,N/A,46.48,0.18,FRAUD_CONFIRMED,0
CLM101008,silver,theft,93400.0,True,1,5.0,41,east,app,0.448,HUMAN_REVIEW,REJECT,252.07,16.08,FRAUD_CONFIRMED,0
CLM101009,standard,medical,15400.0,False,0,5.9,43,north,app,0.408,AUTO_PROCESS,N/A,48.16,0.08,SUCCESSFUL,1
CLM101010,silver,theft,19000.0,False,0,5.4,24,east,call_center,0.567,AUTO_PROCESS,N/A,51.34,0.11,FRAUD_CONFIRMED,0
CLM101011,silver,other,69400.0,True,1,5.6,28,east,agent,0.389,HUMAN_REVIEW,APPROVE,266.48,69.87,FRAUD_CONFIRMED,0
CLM101012,standard,other,40400.0,False,0,2.3,41,south,app,0.405,AUTO_PROCESS,N/A,48.1,0.14,SUCCESSFUL,1
CLM101013,premium,weather,4600.0,True,0,4.2,24,west,agent,0.0,AUTO_PROCESS,N/A,40.0,0.14,SUCCESSFUL,1
CLM101014,standard,other,210900.0,True,0,5.5,30,west,app,0.507,HUMAN_REVIEW,APPROVE,267.26,67.96,CUSTOMER_COMPLAINT,0
CLM101015,standard,weather,19600.0,True,0,5.0,8,east,app,0.166,AUTO_PROCESS,N/A,43.32,0.21,SUCCESSFUL,1
CLM101016,silver,mechanical,10600.0,False,0,3.2,29,south,call_center,0.501,AUTO_PROCESS,N/A,50.02,0.05,FRAUD_CONFIRMED,0
CLM101017,silver,other,55800.0,True,0,0.4,38,south,app,0.208,HUMAN_REVIEW,APPROVE,286.56,28.34,SUCCESSFUL,1
CLM101018,standard,weather,8900.0,True,1,2.0,36,east,app,0.248,AUTO_PROCESS,N/A,44.96,0.07,DISPUTED,0
CLM101019,standard,weather,3400.0,True,0,1.0,29,east,call_center,0.078,AUTO_PROCESS,N/A,41.56,0.17,SUCCESSFUL,1
CLM101020,premium,medical,15500.0,True,1,5.1,8,north,call_center,0.193,AUTO_PROCESS,N/A,43.86,0.1,FRAUD_CONFIRMED,0
CLM101021,silver,other,13300.0,True,2,2.5,43,east,call_center,0.099,AUTO_PROCESS,N/A,41.98,0.23,CUSTOMER_COMPLAINT,0
CLM101022,premium,airline_fault,69500.0,True,0,1.6,4,south,app,0.116,HUMAN_REVIEW,REJECT,251.86,69.92,CUSTOMER_COMPLAINT,0
CLM101023,standard,medical,20000.0,False,0,2.7,13,south,app,0.513,AUTO_PROCESS,N/A,50.26,0.08,SUCCESSFUL,1
CLM101024,silver,mechanical,24900.0,True,1,2.7,31,west,agent,0.028,AUTO_PROCESS,N/A,40.56,0.21,REOPENED,0
CLM101025,standard,mechanical,388600.0,True,0,3.3,32,north,agent,0.492,HUMAN_REVIEW,REJECT,237.84,22.45,FRAUD_CONFIRMED,0
CLM101026,premium,medical,16300.0,False,1,4.4,35,east,app,0.264,AUTO_PROCESS,N/A,45.28,0.3,CUSTOMER_COMPLAINT,0
CLM101027,standard,theft,17000.0,True,1,3.9,0,south,app,0.302,AUTO_PROCESS,N/A,46.04,0.2,SUCCESSFUL,1
CLM101028,silver,medical,16000.0,True,1,4.6,25,west,agent,0.154,AUTO_PROCESS,N/A,43.08,0.16,SUCCESSFUL,1
CLM101029,standard,medical,49000.0,True,0,5.0,31,west,agent,0.254,AUTO_PROCESS,N/A,45.08,0.3,SUCCESSFUL,1
CLM101030,silver,other,27100.0,True,0,0.6,43,north,app,0.23,AUTO_PROCESS,N/A,44.6,0.28,SUCCESSFUL,1
CLM101031,silver,other,14100.0,False,0,9.8,2,west,agent,0.315,AUTO_PROCESS,N/A,46.3,0.17,DISPUTED,0
CLM101032,standard,airline_fault,61100.0,False,2,4.5,28,south,app,0.516,HUMAN_REVIEW,REJECT,268.35,24.74,FRAUD_CONFIRMED,0
CLM101033,premium,medical,9200.0,True,0,9.9,43,south,app,0.0,AUTO_PROCESS,N/A,40.0,0.12,SUCCESSFUL,1
CLM101034,standard,theft,30000.0,True,1,2.2,40,north,app,0.398,AUTO_PROCESS,N/A,47.96,0.25,FRAUD_CONFIRMED,0
CLM101035,silver,airline_fault,4400.0,True,0,15.8,16,south,agent,0.071,AUTO_PROCESS,N/A,41.42,0.11,SUCCESSFUL,1
CLM101036,standard,theft,119400.0,True,1,2.3,13,west,app,0.596,HUMAN_REVIEW,REJECT,285.29,59.05,FRAUD_CONFIRMED,0
CLM101037,standard,medical,8200.0,False,0,1.8,41,south,app,0.473,AUTO_PROCESS,N/A,49.46,0.21,DISPUTED,0
CLM101038,standard,weather,38200.0,True,1,2.3,3,south,agent,0.083,AUTO_PROCESS,N/A,41.66,0.24,SUCCESSFUL,1
CLM101039,standard,mechanical,68200.0,True,1,2.2,22,south,agent,0.226,HUMAN_REVIEW,REJECT,277.65,48.96,CUSTOMER_COMPLAINT,0
CLM101040,standard,theft,8300.0,True,1,2.1,28,north,agent,0.167,AUTO_PROCESS,N/A,43.34,0.19,SUCCESSFUL,1
CLM101041,silver,mechanical,11300.0,True,0,2.7,35,north,app,0.065,AUTO_PROCESS,N/A,41.3,0.08,SUCCESSFUL,1
CLM101042,silver,other,11800.0,False,0,3.9,9,south,agent,0.423,AUTO_PROCESS,N/A,48.46,0.24,DISPUTED,0
CLM101043,silver,airline_fault,20200.0,True,1,2.1,21,north,app,0.149,AUTO_PROCESS,N/A,42.98,0.25,SUCCESSFUL,1
CLM101044,standard,medical,16400.0,True,1,3.9,43,south,agent,0.0,AUTO_PROCESS,N/A,40.0,0.24,SUCCESSFUL,1
CLM101045,standard,medical,24800.0,True,0,2.9,25,north,app,0.03,AUTO_PROCESS,N/A,40.6,0.16,SUCCESSFUL,1
CLM101046,standard,mechanical,39300.0,True,0,1.1,44,east,app,0.078,AUTO_PROCESS,N/A,41.56,0.15,SUCCESSFUL,1
CLM101047,silver,theft,46500.0,True,0,3.7,29,south,app,0.389,AUTO_PROCESS,N/A,47.78,0.21,REOPENED,0
CLM101048,premium,airline_fault,78400.0,True,1,0.8,9,west,app,0.103,HUMAN_REVIEW,APPROVE,223.61,70.89,DISPUTED,0
CLM101049,standard,weather,12000.0,True,0,2.0,40,north,call_center,0.229,AUTO_PROCESS,N/A,44.58,0.29,SUCCESSFUL,1
CLM101050,silver,theft,67400.0,False,2,2.3,37,south,app,0.924,HUMAN_REVIEW,REJECT,264.0,54.96,CUSTOMER_COMPLAINT,0
CLM101051,standard,weather,4500.0,True,1,5.0,10,east,app,0.104,AUTO_PROCESS,N/A,42.08,0.3,SUCCESSFUL,1
CLM101052,standard,other,4500.0,False,1,7.5,40,east,agent,0.522,AUTO_PROCESS,N/A,50.44,0.05,FRAUD_CONFIRMED,0
CLM101053,standard,theft,41400.0,True,1,1.7,28,west,agent,0.49,AUTO_PROCESS,N/A,49.8,0.08,SUCCESSFUL,1
CLM101054,standard,airline_fault,83900.0,True,0,0.7,10,east,call_center,0.409,HUMAN_REVIEW,REJECT,271.48,18.3,CUSTOMER_COMPLAINT,0
CLM101055,silver,mechanical,34300.0,True,0,2.9,31,east,agent,0.042,AUTO_PROCESS,N/A,40.84,0.28,SUCCESSFUL,1
CLM101056,premium,other,37500.0,False,1,3.0,3,north,call_center,0.577,AUTO_PROCESS,N/A,51.54,0.28,SUCCESSFUL,1
CLM101057,standard,weather,8500.0,True,0,5.6,14,south,app,0.161,AUTO_PROCESS,N/A,43.22,0.19,SUCCESSFUL,1
CLM101058,standard,medical,12000.0,True,1,10.8,40,south,app,0.212,AUTO_PROCESS,N/A,44.24,0.26,SUCCESSFUL,1
CLM101059,silver,airline_fault,13900.0,True,1,3.8,14,west,agent,0.0,AUTO_PROCESS,N/A,40.0,0.07,SUCCESSFUL,1
CLM101060,premium,other,23300.0,True,0,10.5,29,west,app,0.17,AUTO_PROCESS,N/A,43.4,0.22,SUCCESSFUL,1
CLM101061,silver,mechanical,21400.0,True,0,2.7,5,south,agent,0.039,AUTO_PROCESS,N/A,40.78,0.19,SUCCESSFUL,1
CLM101062,standard,mechanical,52600.0,True,0,5.9,14,south,call_center,0.213,HUMAN_REVIEW,APPROVE,246.49,54.7,SUCCESSFUL,1
CLM101063,silver,theft,36200.0,True,0,2.8,16,south,call_center,0.297,AUTO_PROCESS,N/A,45.94,0.08,CUSTOMER_COMPLAINT,0
CLM101064,standard,mechanical,13900.0,True,1,7.5,2,east,agent,0.128,AUTO_PROCESS,N/A,42.56,0.12,SUCCESSFUL,1
CLM101065,premium,medical,24200.0,False,0,1.7,18,south,call_center,0.178,AUTO_PROCESS,N/A,43.56,0.07,SUCCESSFUL,1
CLM101066,standard,airline_fault,23300.0,True,3,4.8,16,north,agent,0.174,AUTO_PROCESS,N/A,43.48,0.13,SUCCESSFUL,1
CLM101067,silver,airline_fault,3100.0,True,0,6.0,21,north,call_center,0.086,AUTO_PROCESS,N/A,41.72,0.14,SUCCESSFUL,1
CLM101068,standard,weather,8400.0,False,2,2.3,34,south,call_center,0.224,AUTO_PROCESS,N/A,44.48,0.18,FRAUD_CONFIRMED,0
CLM101069,standard,theft,113700.0,True,2,5.1,28,west,app,0.631,HUMAN_REVIEW,REJECT,215.4,48.0,CUSTOMER_COMPLAINT,0
CLM101070,premium,other,39200.0,True,1,1.5,37,west,app,0.06,AUTO_PROCESS,N/A,41.2,0.22,SUCCESSFUL,1
CLM101071,silver,airline_fault,113800.0,True,0,8.8,3,east,agent,0.281,HUMAN_REVIEW,APPROVE,202.32,64.14,SUCCESSFUL,1
